name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,16,150,NASNet,class_scene,adj_gin,2,pwl,False,16,0.17413224759929413,0.11691371974672275,0.008510658667373211,0.0038549950916665003
None,42,16,150,NASNet,class_scene,adj_gin,2,pwl,False,32,0.2699091753754688,0.18216177657628096,0.0002588932902885838,0.0001256751660047484
None,42,16,150,NASNet,class_scene,adj_gin,2,pwl,False,128,0.27825137540916267,0.18836876866431873,0.0016950059515950312,0.0007916203347290211
None,42,16,150,NASNet,class_scene,adj_gin,2,pwl,False,256,0.27165334698584415,0.18354639779297655,0.0009620793732399668,0.00044598908470216216
None,42,16,150,NASNet,class_scene,adj_gin,2,pwl,False,512,0.3450589077384414,0.2347032949995663,2.2190330573887185e-05,1.0622676553988985e-05
None,42,16,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,16,0.13882309275789054,0.09319331496922874,0.004507506351538103,0.002035841053350596
None,42,16,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,32,0.28957166765360964,0.19596009426234504,0.001383464881294866,0.0006860749573090033
None,42,16,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,128,0.3052280835570587,0.206775920859529,6.622351367017435e-05,2.7135895227269973e-05
None,42,16,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,256,0.31771463418434415,0.2151066607012788,0.0013154887436268089,0.0006277503909846698
None,42,16,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,512,0.3734671847542841,0.2545878456980456,0.0004128757841801366,0.0001947590306821796
None,42,16,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.08205825433063513,0.055185193615048485,0.0030562638636883774,0.001402691201183398
None,42,16,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,32,0.21569076318681712,0.1449101307678122,0.00012790457522098345,5.746870230617391e-05
None,42,16,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,128,0.2553887192237982,0.17237034220096628,0.0019222668727808545,0.0008968149330658644
None,42,16,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,256,0.2787750365699165,0.1882656027345886,0.0007884657979714805,0.0003657650625614299
None,42,16,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,512,0.35230537153384955,0.24061980515683534,0.00021128927360510906,0.00012234779844597877
None,42,16,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,16,0.48730703440999407,0.3381944268421586,0.0008685610073607041,0.0004898874106276002
None,42,16,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,32,0.536350096341945,0.3775770788702637,0.007575181830543638,0.004449800790778384
None,42,16,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,128,0.7307895051521243,0.5391935004202787,6.373072035709613e-05,4.786312809819138e-05
None,42,16,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,256,0.7531466261836671,0.5609748832678856,0.0003809601960176725,0.00028552302895124736
None,42,16,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,512,0.7829815670846968,0.5914239145609245,0.00024747760097892945,0.00022295370951952345
None,42,512,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,1024,0.3795570094426944,0.258473501877513,8.250248250947885e-05,3.678928429539141e-05
None,42,512,150,NASNet,class_scene,adj_gin_arch2vec,2,pwl,False,2048,0.3831751686678668,0.26170544409739,1.8371523062317893e-05,6.251606516867009e-06
None,42,512,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,1024,0.42615253483076154,0.29260363060765754,0.0002565444530268659,0.00012584605572858623
None,42,512,150,NASNet,class_scene,adj_gin_cate,2,pwl,False,2048,0.4653296811376238,0.3213015287628294,0.00017329817754662061,8.927326450534693e-05
None,42,512,150,NASNet,class_scene,adj_gin,2,pwl,False,1024,0.4331135824852766,0.2980369180204644,0.00023025605733916868,0.00011262229271731315
None,42,512,150,NASNet,class_scene,adj_gin,2,pwl,False,2048,0.4827737506098771,0.33372412302478366,0.00048135786688677343,0.00024405694910805656
None,42,512,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,1024,0.8225729615068094,0.6342547151904881,1.577750952146186e-05,2.406130810934828e-05
None,42,512,150,NASNet,class_scene,adj_gin_zcp,2,pwl,False,2048,0.8364383017045771,0.6483563741719457,1.7114223397375254e-06,5.138254805468969e-06
